subid,slide,cond,leftPic,rightPic,trialNum,key,correct,rt
2,test,ds,ds13a,ds13b,40,h,1,335
2,test,ap,ap17a,ap17b,41,h,0,412
2,test,ss,ss7a,ss7b,42,h,1,461
2,test,ds,ds14a,ds14b,43,h,1,376
2,test,ds,ds15a,ds15b,44,h,1,400
2,test,ss,ss8a,ss8b,45,h,1,380
2,test,ss,ss9a,ss9b,46,h,1,390
2,test,ap,ap18a,ap18b,47,a,1,526
2,test,dd,dd6a,dd6b,48,h,1,422
2,test,ap,ap19a,ap19b,49,a,1,453
2,test,ap,ap20a,ap20b,50,a,1,380
2,test,ss,ss10a,ss10b,51,h,1,448
2,test,dd,dd7a,dd7b,52,h,1,361
2,test,ss,ss11a,ss11b,53,h,1,378
2,test,dd,dd8a,dd8b,54,h,1,334
2,test,ss,ss12a,ss12b,55,h,1,330
2,test,dd,dd9a,dd9b,56,h,1,352
2,test,ds,ds16a,ds16b,57,h,1,335
2,test,dd,dd10a,dd10b,58,h,1,331
2,test,ap,ap21a,ap21b,59,a,1,460
2,test,ap,ap22a,ap22b,60,a,1,447
2,test,ap,ap23a,ap23b,61,a,1,459
2,test,dd,dd11a,dd11b,62,h,1,489
2,test,ss,ss13a,ss13b,63,h,1,364
2,test,dd,dd12a,dd12b,64,h,1,360
2,test,ap,ap24a,ap24b,65,a,1,407
2,test,ss,ss14a,ss14b,66,h,1,411
2,test,ap,ap25a,ap25b,67,a,1,641
2,test,dd,dd13a,dd13b,68,h,1,515
2,test,ds,ds17a,ds17b,69,h,1,402
2,test,ss,ss15a,ss15b,70,h,1,330
2,test,ds,ds18a,ds18b,71,h,1,322
2,test,dd,dd14a,dd14b,72,h,1,284
2,test,ss,ss16a,ss16b,73,h,1,329
2,test,ap,ap26a,ap26b,74,a,1,473
2,test,ap,ap27a,ap27b,75,a,1,369
2,test,ss,ss17a,ss17b,76,a,0,343
2,test,dd,dd15a,dd15b,77,h,1,482
2,test,ds,ds19a,ds19b,78,h,1,342
2,test,ds,ds20a,ds20b,79,a,0,401
2,test,dd,dd16a,dd16b,80,h,1,341
2,test,ap,ap28a,ap28b,81,a,1,539
2,test,dd,dd17a,dd17b,82,h,1,480
2,test,ss,ss18a,ss18b,83,h,1,457
2,test,ap,ap29a,ap29b,84,a,1,530
2,test,ss,ss19a,ss19b,85,h,1,433
2,test,ap,ap30a,ap30b,86,a,1,533
2,test,dd,dd18a,dd18b,87,h,1,387
2,test,ap,ap31a,ap31b,88,h,0,365
2,test,ss,ss20a,ss20b,89,h,1,490
2,test,ap,ap32a,ap32b,90,a,1,446
2,test,dd,dd19a,dd19b,91,h,1,464
2,test,dd,dd20a,dd20b,92,h,1,428
3,test,dd,dd20b,dd20a,1,h,1,863
3,test,ss,ss20b,ss20a,2,h,1,648
3,test,ds,ds20b,ds20a,3,h,1,508
3,test,ss,ss19b,ss19a,4,h,1,547
3,test,ds,ds19b,ds19a,5,h,1,585
3,test,ap,ap32b,ap32a,6,a,1,590
3,test,ds,ds18b,ds18a,7,h,1,535
3,test,ds,ds17b,ds17a,8,h,1,522
3,test,ap,ap31b,ap31a,9,a,1,854
3,test,ds,ds16b,ds16a,10,h,1,531
3,test,ap,ap30b,ap30a,11,a,1,591
3,test,ap,ap29b,ap29a,12,a,1,536
3,test,ap,ap28b,ap28a,13,a,1,673
3,test,dd,dd19b,dd19a,14,h,1,575
3,test,ss,ss18b,ss18a,15,h,1,491
3,test,ds,ds15b,ds15a,16,h,1,493
3,test,ds,ds14b,ds14a,17,h,1,594
3,test,ap,ap27b,ap27a,18,a,1,503
3,test,dd,dd18b,dd18a,19,h,1,501
3,test,dd,dd17b,dd17a,20,a,0,651
3,test,ss,ss17b,ss17a,21,h,1,609
3,test,ap,ap26b,ap26a,22,a,1,553
3,test,ap,ap25b,ap25a,23,a,1,817
3,test,ss,ss16b,ss16a,24,h,1,595
3,test,ss,ss15b,ss15a,25,h,1,754
3,test,ds,ds13b,ds13a,26,h,1,493
3,test,dd,dd16b,dd16a,27,h,1,573
3,test,ap,ap24b,ap24a,28,a,1,553
3,test,dd,dd15b,dd15a,29,a,0,949
3,test,ss,ss14b,ss14a,30,h,1,1387
3,test,ss,ss13b,ss13a,31,h,1,524
3,test,ap,ap23b,ap23a,32,a,1,766
3,test,ds,ds12b,ds12a,33,h,1,568
3,test,ap,ap22b,ap22a,34,a,1,574
3,test,dd,dd14b,dd14a,35,h,1,678
3,test,ss,ss12b,ss12a,36,h,1,511
3,test,ds,ds11b,ds11a,37,h,1,465
3,test,ss,ss11b,ss11a,38,h,1,605
3,test,dd,dd13b,dd13a,39,h,1,1050
3,test,ss,ss10b,ss10a,40,h,1,513
3,test,ap,ap21b,ap21a,41,a,1,588
3,test,ap,ap20b,ap20a,42,a,1,715
3,test,ap,ap19b,ap19a,43,a,1,500
3,test,dd,dd12b,dd12a,44,h,1,528
3,test,dd,dd11b,dd11a,45,h,1,493
3,test,ap,ap18b,ap18a,46,a,1,476
3,test,ap,ap17b,ap17a,47,a,1,581
3,test,ap,ap16b,ap16a,48,a,1,526
3,test,ss,ss9b,ss9a,49,h,1,468
3,test,ap,ap15b,ap15a,50,a,1,581
3,test,ds,ds10b,ds10a,51,h,1,525
3,test,ds,ds9b,ds9a,52,h,1,574
3,test,ap,ap14b,ap14a,53,a,1,516
3,test,ss,ss8b,ss8a,54,a,0,1162
3,test,ss,ss7b,ss7a,55,h,1,598
3,test,ap,ap13b,ap13a,56,a,1,634
3,test,ds,ds8b,ds8a,57,h,1,1196
3,test,ap,ap12b,ap12a,58,a,1,523
3,test,ss,ss6b,ss6a,59,h,1,751
3,test,ds,ds7b,ds7a,60,h,1,405
3,test,ap,ap11b,ap11a,61,a,1,436
3,test,ss,ss5b,ss5a,62,h,1,479
3,test,ss,ss4b,ss4a,63,h,1,434
3,test,ap,ap10b,ap10a,64,a,1,468
3,test,ap,ap9b,ap9a,65,h,0,886
3,test,ds,ds6b,ds6a,66,h,1,571
3,test,dd,dd10b,dd10a,67,h,1,846
3,test,dd,dd9b,dd9a,68,h,1,493
3,test,dd,dd8b,dd8a,69,h,1,471
3,test,dd,dd7b,dd7a,70,h,1,436
3,test,ap,ap8b,ap8a,71,a,1,506
3,test,ap,ap7b,ap7a,72,a,1,684
3,test,ss,ss3b,ss3a,73,h,1,462
3,test,ap,ap6b,ap6a,74,a,1,492
3,test,ap,ap5b,ap5a,75,a,1,663
3,test,ss,ss2b,ss2a,76,h,1,532
3,test,ds,ds5b,ds5a,77,h,1,683
3,test,ap,ap4b,ap4a,78,a,1,513
3,test,ss,ss1b,ss1a,79,h,1,510
3,test,dd,dd6b,dd6a,80,h,1,422
3,test,ap,ap3b,ap3a,81,a,1,492
3,test,dd,dd5b,dd5a,82,h,1,523
3,test,ds,ds4b,ds4a,83,h,1,660
3,test,dd,dd4b,dd4a,84,h,1,447
3,test,ds,ds3b,ds3a,85,h,1,474
3,test,dd,dd3b,dd3a,86,h,1,465
3,test,ap,ap2b,ap2a,87,a,1,459
3,test,dd,dd2b,dd2a,88,h,1,684
3,test,ds,ds2b,ds2a,89,h,1,413
3,test,dd,dd1b,dd1a,90,h,1,370
3,test,ap,ap1b,ap1a,91,a,1,516
3,test,ds,ds1b,ds1a,92,h,1,495
4,test,ds,ds20b,ds20a,1,a,0,1842
4,test,ap,ap32b,ap32a,2,h,0,4393
4,test,ss,ss20b,ss20a,3,h,1,1017
4,test,ap,ap31b,ap31a,4,h,0,1220
4,test,ap,ap30b,ap30a,5,a,1,1323
4,test,ds,ds19b,ds19a,6,h,1,363
4,test,ap,ap29b,ap29a,7,h,0,61135
4,test,ap,ap28b,ap28a,8,a,1,490
4,test,ap,ap27b,ap27a,9,h,0,369
4,test,ap,ap26b,ap26a,10,h,0,322
4,test,ap,ap25b,ap25a,11,a,1,467
4,test,dd,dd20b,dd20a,12,a,0,242
4,test,ap,ap24b,ap24a,13,h,0,451
4,test,ds,ds18b,ds18a,14,h,1,930
4,test,ds,ds17b,ds17a,15,h,1,2513
4,test,ap,ap23b,ap23a,16,h,0,467
4,test,ss,ss19b,ss19a,17,h,1,482
4,test,ds,ds16b,ds16a,18,a,0,354
4,test,dd,dd19b,dd19a,19,a,0,291
4,test,ss,ss18b,ss18a,20,h,1,347
4,test,ap,ap22b,ap22a,21,h,0,283
4,test,ap,ap21b,ap21a,22,a,1,386
4,test,ds,ds15b,ds15a,23,h,1,316
4,test,ap,ap20b,ap20a,24,a,1,299
4,test,ss,ss17b,ss17a,25,h,1,306
4,test,ap,ap19b,ap19a,26,h,0,394
4,test,ap,ap18b,ap18a,27,h,0,298
4,test,dd,dd18b,dd18a,28,a,0,244
4,test,ap,ap17b,ap17a,29,a,1,202
4,test,ss,ss16b,ss16a,30,h,1,428
4,test,ap,ap16b,ap16a,31,h,0,282
4,test,ds,ds14b,ds14a,32,h,1,419
4,test,ap,ap15b,ap15a,33,a,1,338
4,test,ds,ds13b,ds13a,34,a,0,260
4,test,ss,ss15b,ss15a,35,a,0,385
4,test,ap,ap14b,ap14a,36,a,1,466
4,test,ds,ds12b,ds12a,37,h,1,618
4,test,dd,dd17b,dd17a,38,h,1,386
4,test,ap,ap13b,ap13a,39,h,0,249
4,test,ds,ds11b,ds11a,40,a,0,266
4,test,dd,dd16b,dd16a,41,h,1,194
4,test,dd,dd15b,dd15a,42,a,0,332
4,test,ss,ss14b,ss14a,43,h,1,169
4,test,ap,ap12b,ap12a,44,a,1,258
4,test,ds,ds10b,ds10a,45,h,1,195
4,test,ap,ap11b,ap11a,46,a,1,43
4,test,ds,ds9b,ds9a,47,h,1,228
4,test,ap,ap10b,ap10a,48,h,0,235
4,test,ap,ap9b,ap9a,49,a,1,108
4,test,ap,ap8b,ap8a,50,h,0,74
4,test,ap,ap7b,ap7a,51,a,1,299
4,test,ss,ss13b,ss13a,52,a,0,129
4,test,dd,dd14b,dd14a,53,h,1,179
4,test,ds,ds8b,ds8a,54,h,1,67
4,test,dd,dd13b,dd13a,55,a,0,181
4,test,dd,dd12b,dd12a,56,h,1,5
4,test,dd,dd11b,dd11a,57,h,1,222
4,test,dd,dd10b,dd10a,58,a,0,115
4,test,ss,ss12b,ss12a,59,a,0,107
4,test,dd,dd9b,dd9a,60,a,0,16
4,test,ap,ap6b,ap6a,61,h,0,269
4,test,ss,ss11b,ss11a,62,h,1,11
4,test,ss,ss10b,ss10a,63,h,1,115
4,test,ds,ds7b,ds7a,64,h,1,17
4,test,ds,ds6b,ds6a,65,h,1,155
4,test,dd,dd8b,dd8a,66,a,0,227
4,test,dd,dd7b,dd7a,67,a,0,251
4,test,ss,ss9b,ss9a,68,a,0,35
4,test,ds,ds5b,ds5a,69,h,1,412
4,test,dd,dd6b,dd6a,70,h,1,314
4,test,ss,ss8b,ss8a,71,h,1,236
4,test,ss,ss7b,ss7a,72,a,0,124
4,test,ds,ds4b,ds4a,73,a,0,34
4,test,ds,ds3b,ds3a,74,a,0,35
4,test,ap,ap5b,ap5a,75,h,0,170
4,test,ds,ds2b,ds2a,76,h,1,243
4,test,ap,ap4b,ap4a,77,a,1,115
4,test,ap,ap3b,ap3a,78,a,1,34
4,test,ss,ss6b,ss6a,79,h,1,66
4,test,ss,ss5b,ss5a,80,h,1,12
4,test,ds,ds1b,ds1a,81,h,1,194
4,test,ss,ss4b,ss4a,82,a,0,49
4,test,ss,ss3b,ss3a,83,h,1,187
4,test,ap,ap2b,ap2a,84,a,1,124
4,test,dd,dd5b,dd5a,85,h,1,227
4,test,dd,dd4b,dd4a,86,h,1,196
4,test,dd,dd3b,dd3a,87,h,1,28
4,test,dd,dd2b,dd2a,88,a,0,258
4,test,ss,ss2b,ss2a,89,a,0,66
4,test,ss,ss1b,ss1a,90,a,0,4
4,test,dd,dd1b,dd1a,91,a,0,106
4,test,ap,ap1b,ap1a,92,a,1,113
